meterID,missing_date
261,2016-01-26
261,2016-01-27
261,2016-01-28
261,2016-01-29
261,2016-01-30
261,2016-01-31
261,2016-02-01
261,2016-02-02
261,2016-02-03
261,2016-02-04
261,2016-02-05
261,2016-02-06
261,2016-02-07
261,2016-02-08
261,2016-02-09
261,2016-02-10
261,2016-02-11
261,2016-02-12
261,2016-02-13
261,2016-02-14
261,2017-01-01
261,2017-01-02
261,2017-01-03
261,2017-01-04
261,2017-01-05
261,2017-01-06
261,2017-01-07
261,2017-01-08
261,2017-01-09
261,2017-01-10
261,2017-01-11
261,2017-01-12
261,2017-01-13
261,2017-01-14
261,2017-01-15
261,2017-01-16
261,2017-01-17
261,2017-01-18
261,2017-01-19
261,2017-01-20
261,2017-01-21
261,2017-01-22
261,2017-01-23
261,2017-01-24
261,2017-01-25
261,2017-01-26
261,2017-01-27
261,2017-01-28
261,2017-01-29
261,2017-01-30
856,2016-01-01
856,2016-01-02
856,2016-01-03
856,2016-01-04
856,2016-01-05
856,2016-01-06
856,2016-01-07
856,2016-01-08
856,2016-01-09
856,2016-01-10
856,2016-01-11
856,2016-01-12
856,2016-01-13
856,2016-01-14
856,2016-01-15
856,2016-01-16
856,2016-01-17
856,2016-01-18
856,2016-01-19
856,2016-01-20
856,2016-01-21
856,2016-01-22
856,2016-01-23
856,2016-01-24
856,2016-01-25
856,2016-01-26
856,2016-01-27
856,2016-01-28
856,2016-01-29
856,2016-01-30
856,2016-01-31
856,2016-02-01
856,2016-02-02
856,2016-02-03
856,2016-02-04
856,2016-02-05
856,2016-02-06
856,2016-02-07
856,2016-02-08
856,2016-02-09
856,2016-02-10
856,2016-02-11
856,2016-02-12
856,2016-02-13
856,2016-02-14
856,2016-02-15
856,2017-01-01
856,2017-01-02
856,2017-01-03
856,2017-01-04
856,2017-01-05
856,2017-01-06
856,2017-01-07
856,2017-01-08
856,2017-01-09
856,2017-01-10
856,2017-01-11
856,2017-01-12
856,2017-01-13
856,2017-01-14
856,2017-01-15
856,2017-01-16
856,2017-01-17
856,2017-01-18
856,2017-01-19
856,2017-01-20
856,2017-01-21
856,2017-01-22
856,2017-01-23
856,2017-01-24
856,2017-01-25
856,2017-01-26
856,2017-01-27
856,2017-01-28
856,2017-01-29
856,2017-01-30
788,2016-01-01
788,2016-01-02
788,2016-01-03
788,2016-01-04
788,2016-01-05
788,2016-01-06
788,2016-01-07
788,2016-01-08
788,2016-01-09
788,2016-01-10
788,2016-01-11
788,2016-01-12
788,2016-01-13
788,2016-01-14
788,2016-01-15
788,2016-01-16
788,2016-01-17
788,2016-01-18
788,2016-01-19
788,2016-01-20
788,2016-01-21
788,2016-01-22
788,2016-01-23
788,2016-01-24
788,2016-01-25
788,2016-01-26
788,2016-01-27
788,2016-01-28
788,2016-01-29
788,2016-01-30
788,2016-01-31
788,2016-02-01
788,2016-02-02
788,2016-02-03
788,2016-02-04
788,2016-02-05
